index,modelId,layer,description,explanationModelName,typeName,bio_related
0,gemma-2-9b,1-gemmascope-res-16k,references to names and terms related to honey and neuroscience,,oai_token-act-pair,
1,gemma-2-9b,1-gemmascope-res-16k,"the word ""qui"" indicating questions or clauses where the subject is being referenced, and it also highlights the concept of maintenance in contexts related to service or care",,oai_token-act-pair,
2,gemma-2-9b,1-gemmascope-res-16k,references to pull requests in a programming context,,oai_token-act-pair,
3,gemma-2-9b,1-gemmascope-res-16k," references to time periods or intervals, particularly quarterly and the concept of necessity",,oai_token-act-pair,
4,gemma-2-9b,1-gemmascope-res-16k,"references to the word ""Del"" or ""del,"" indicating a specific focus on instances of this term",,oai_token-act-pair,
5,gemma-2-9b,1-gemmascope-res-16k,"terms related to ""stem"" across various contexts, including biology and medicine",,oai_token-act-pair,
6,gemma-2-9b,1-gemmascope-res-16k,references to municipal governance and potential corruption,,oai_token-act-pair,
7,gemma-2-9b,1-gemmascope-res-16k,terms related to sensitivity and confidential information,,oai_token-act-pair,
8,gemma-2-9b,1-gemmascope-res-16k, references to legal defense and defendants in a legal context,,oai_token-act-pair,
9,gemma-2-9b,1-gemmascope-res-16k,"references to hacking and hackers, particularly in contexts related to scams and cyber activities",,oai_token-act-pair,
10,gemma-2-9b,1-gemmascope-res-16k,"instances where the abbreviation ""IN"" is used",,oai_token-act-pair,
11,gemma-2-9b,1-gemmascope-res-16k,references to ties in various contexts,,oai_token-act-pair,
12,gemma-2-9b,1-gemmascope-res-16k,"variations of the word ""ism"" related to belief systems or ideologies",,oai_token-act-pair,
13,gemma-2-9b,1-gemmascope-res-16k,"references to ""bubbles"" or ""bubble"" phenomena across various contexts",,oai_token-act-pair,
14,gemma-2-9b,1-gemmascope-res-16k, terms related to adoption and ethics,,oai_token-act-pair,
15,gemma-2-9b,1-gemmascope-res-16k,references to specific episodes and their qualities in a series,,oai_token-act-pair,
16,gemma-2-9b,1-gemmascope-res-16k,"the plural form of the word ""is"" in various contexts",,oai_token-act-pair,
17,gemma-2-9b,1-gemmascope-res-16k, phrases related to resource availability,,oai_token-act-pair,
18,gemma-2-9b,1-gemmascope-res-16k, terms related to compromise and opposition in various contexts,,oai_token-act-pair,
19,gemma-2-9b,1-gemmascope-res-16k," mentions of ""Unity"" in various contexts",,oai_token-act-pair,
20,gemma-2-9b,1-gemmascope-res-16k, references to factual information and legal contexts,,oai_token-act-pair,
21,gemma-2-9b,1-gemmascope-res-16k,military designations and organizational information,,oai_token-act-pair,
22,gemma-2-9b,1-gemmascope-res-16k, references to mills and honey production,,oai_token-act-pair,
23,gemma-2-9b,1-gemmascope-res-16k,terms related to design and its various contextual applications,,oai_token-act-pair,
24,gemma-2-9b,1-gemmascope-res-16k,words related to the act of acknowledging or accepting responsibility,,oai_token-act-pair,
25,gemma-2-9b,1-gemmascope-res-16k,phrases that involve the act of telling or conveying information,,oai_token-act-pair,
26,gemma-2-9b,1-gemmascope-res-16k, terms related to latitude and spatial genetic variation,,oai_token-act-pair,
27,gemma-2-9b,1-gemmascope-res-16k," references to ""chains"" in various contexts",,oai_token-act-pair,
28,gemma-2-9b,1-gemmascope-res-16k,references to plastic materials,,oai_token-act-pair,
29,gemma-2-9b,1-gemmascope-res-16k," occurrences of the word ""append"" or the suffix ""ations.""",,oai_token-act-pair,
30,gemma-2-9b,1-gemmascope-res-16k, words related to legal terminology or judicial contexts,,oai_token-act-pair,
31,gemma-2-9b,1-gemmascope-res-16k,"the name ""Hal"" in various contexts",,oai_token-act-pair,
32,gemma-2-9b,1-gemmascope-res-16k, terms and concepts related to differential equations in statistical models,,oai_token-act-pair,
33,gemma-2-9b,1-gemmascope-res-16k,references to legal rulings and court decisions,,oai_token-act-pair,
34,gemma-2-9b,1-gemmascope-res-16k,terms associated with gradual changes or increases in quantity,,oai_token-act-pair,
35,gemma-2-9b,1-gemmascope-res-16k,terms related to sheets and spreadsheets in a technical or programming context,,oai_token-act-pair,
36,gemma-2-9b,1-gemmascope-res-16k, terms related to rental agreements and housing leases,,oai_token-act-pair,
37,gemma-2-9b,1-gemmascope-res-16k,conditional statements in code,,oai_token-act-pair,
38,gemma-2-9b,1-gemmascope-res-16k," occurrences of the prefix ""un-""",,oai_token-act-pair,
39,gemma-2-9b,1-gemmascope-res-16k,terms related to tendering or bids in various contexts,,oai_token-act-pair,
40,gemma-2-9b,1-gemmascope-res-16k,"the presence and variations of the keyword ""Sho"" and its related terms",,oai_token-act-pair,
41,gemma-2-9b,1-gemmascope-res-16k, references to seasons and seasonal changes,,oai_token-act-pair,
42,gemma-2-9b,1-gemmascope-res-16k,terms related to the Mai-Mai militias and their involvement in conflicts in the Democratic Republic of the Congo,,oai_token-act-pair,
43,gemma-2-9b,1-gemmascope-res-16k,"mentions of the name ""Rob.""",,oai_token-act-pair,
44,gemma-2-9b,1-gemmascope-res-16k,terms related to forward progression or forward-looking statements,,oai_token-act-pair,
45,gemma-2-9b,1-gemmascope-res-16k, words related to discovery and realization,,oai_token-act-pair,
46,gemma-2-9b,1-gemmascope-res-16k,references to birthdays and transactions involving buying,,oai_token-act-pair,
47,gemma-2-9b,1-gemmascope-res-16k,topics related to legal disputes or conflicts between parties,,oai_token-act-pair,
48,gemma-2-9b,1-gemmascope-res-16k,references to the United States,,oai_token-act-pair,
49,gemma-2-9b,1-gemmascope-res-16k,"the term ""ordinary"" used in various contexts",,oai_token-act-pair,
50,gemma-2-9b,1-gemmascope-res-16k,terms related to underlying mechanisms or conditions,,oai_token-act-pair,
